driver,month,spec,n_files,n_lines,commit,sample_path
PYTHON,2023-04,crud,142,31521,bc9029a2,test/crud/unified/aggregate-allowdiskuse.json
PYTHON,2023-04,gridfs,5,2475,bc9029a2,test/gridfs/delete.json
PYTHON,2023-04,initial-dns-seedlist-discovery,52,618,bc9029a2,test/srv_seedlist/load-balanced/loadBalanced-directConnection.json
PYTHON,2023-04,load-balancers,8,3943,bc9029a2,test/load_balancer/cursors.json
PYTHON,2023-04,max-staleness,32,2293,bc9029a2,test/max_staleness/ReplicaSetNoPrimary/DefaultNoMaxStaleness.json
PYTHON,2023-04,read-write-concern,6,1212,bc9029a2,test/read_write_concern/document/read-concern.json
PYTHON,2023-04,retryable-reads,43,21268,bc9029a2,test/retryable_reads/legacy/aggregate-merge.json
PYTHON,2023-04,retryable-writes,33,8244,bc9029a2,test/retryable_writes/legacy/bulkWrite-errorLabels.json
PYTHON,2023-04,server-discovery-and-monitoring,199,21754,bc9029a2,test/discovery_and_monitoring/errors/error_handling_handshake.json
PYTHON,2023-04,server-selection,68,2783,bc9029a2,test/server_selection/in_window/equilibrium.json
PYTHON,2023-04,sessions,7,3343,bc9029a2,test/sessions/driver-sessions-dirty-session-errors.json
PYTHON,2023-04,transactions,36,26646,bc9029a2,test/transactions/legacy/abort.json
PYTHON,2023-04,transactions-convenient-api,9,3780,bc9029a2,test/transactions-convenient-api/callback-aborts.json
PYTHON,2023-04,unified-test-format,271,11732,bc9029a2,test/unified-test-format/invalid/clientEncryptionOpts-additionalProperties.json
PYTHON,2023-04,uri-options,9,1354,bc9029a2,test/uri_options/auth-options.json
PYTHON,2023-04,versioned-api,6,2834,bc9029a2,test/versioned-api/crud-api-version-1-strict.json
PYTHON,2023-05,atlas-data-lake-testing,7,282,2fe01929,test/data_lake/aggregate.json
PYTHON,2023-05,auth,3,958,2fe01929,test/auth/legacy/connection-string.json
PYTHON,2023-05,bson-corpus,31,5245,2fe01929,test/bson_corpus/array.json
PYTHON,2023-05,change-streams,8,8197,2fe01929,test/change_streams/unified/change-streams-clusterTime.json
PYTHON,2023-05,client-side-encryption,137,87834,2fe01929,test/client-side-encryption/corpus/corpus-encrypted.json
PYTHON,2023-05,client-side-operations-timeout,24,31155,2fe01929,test/csot/bulkWrite.json
PYTHON,2023-05,collection-management,4,814,2fe01929,test/collection_management/clustered-indexes.json
PYTHON,2023-05,command-monitoring,11,2638,2fe01929,test/command_monitoring/bulkWrite.json
