driver,month,spec,n_files,n_lines,driver_commit,submodule_sha
JAVA,2025-07,load-balancers,8,1533,4b2967e1,c13d23b9
JAVA,2025-07,max-staleness,32,965,4b2967e1,c13d23b9
JAVA,2025-07,mongodb-handshake,1,54,4b2967e1,c13d23b9
JAVA,2025-07,read-write-concern,8,807,4b2967e1,c13d23b9
JAVA,2025-07,retryable-reads,45,12102,4b2967e1,c13d23b9
JAVA,2025-07,retryable-writes,35,6198,4b2967e1,c13d23b9
JAVA,2025-07,run-command,2,660,4b2967e1,c13d23b9
JAVA,2025-07,server-discovery-and-monitoring,221,15918,4b2967e1,c13d23b9
JAVA,2025-07,server-selection,73,1981,4b2967e1,c13d23b9
JAVA,2025-07,sessions,7,1440,4b2967e1,c13d23b9
JAVA,2025-07,transactions,40,16665,4b2967e1,c13d23b9
JAVA,2025-07,transactions-convenient-api,10,2027,4b2967e1,c13d23b9
JAVA,2025-07,unified-test-format,302,6146,4b2967e1,c13d23b9
JAVA,2025-07,uri-options,11,1305,4b2967e1,c13d23b9
JAVA,2025-07,versioned-api,6,1088,4b2967e1,c13d23b9
JAVA,2025-08,atlas-data-lake-testing,7,212,81f74cc6,5ef7b1bc
JAVA,2025-08,auth,2,696,81f74cc6,5ef7b1bc
JAVA,2025-08,change-streams,9,4011,81f74cc6,5ef7b1bc
JAVA,2025-08,client-side-encryption,124,30012,81f74cc6,5ef7b1bc
JAVA,2025-08,client-side-operations-timeout,28,20552,81f74cc6,5ef7b1bc
JAVA,2025-08,collection-management,6,482,81f74cc6,5ef7b1bc
JAVA,2025-08,command-logging-and-monitoring,25,2936,81f74cc6,5ef7b1bc
JAVA,2025-08,connection-monitoring-and-pooling,35,1704,81f74cc6,5ef7b1bc
JAVA,2025-08,connection-string,8,1256,81f74cc6,5ef7b1bc
JAVA,2025-08,crud,190,18804,81f74cc6,5ef7b1bc
JAVA,2025-08,gridfs,8,1152,81f74cc6,5ef7b1bc
JAVA,2025-08,index-management,7,535,81f74cc6,5ef7b1bc
JAVA,2025-08,initial-dns-seedlist-discovery,53,467,81f74cc6,5ef7b1bc
JAVA,2025-08,load-balancers,8,1533,81f74cc6,5ef7b1bc
JAVA,2025-08,max-staleness,32,965,81f74cc6,5ef7b1bc
JAVA,2025-08,mongodb-handshake,1,54,81f74cc6,5ef7b1bc
JAVA,2025-08,read-write-concern,8,807,81f74cc6,5ef7b1bc
JAVA,2025-08,retryable-reads,45,12102,81f74cc6,5ef7b1bc
JAVA,2025-08,retryable-writes,35,6198,81f74cc6,5ef7b1bc
JAVA,2025-08,run-command,2,660,81f74cc6,5ef7b1bc
JAVA,2025-08,server-discovery-and-monitoring,221,15918,81f74cc6,5ef7b1bc
JAVA,2025-08,server-selection,73,1981,81f74cc6,5ef7b1bc
JAVA,2025-08,sessions,7,1440,81f74cc6,5ef7b1bc
JAVA,2025-08,transactions,40,16665,81f74cc6,5ef7b1bc
JAVA,2025-08,transactions-convenient-api,10,2027,81f74cc6,5ef7b1bc
JAVA,2025-08,unified-test-format,304,6162,81f74cc6,5ef7b1bc
JAVA,2025-08,uri-options,11,1305,81f74cc6,5ef7b1bc
JAVA,2025-08,versioned-api,6,1088,81f74cc6,5ef7b1bc
JAVA,2025-09,atlas-data-lake-testing,7,212,747b1179,eb7f9a25
JAVA,2025-09,auth,2,696,747b1179,eb7f9a25
JAVA,2025-09,change-streams,9,4011,747b1179,eb7f9a25
JAVA,2025-09,client-side-encryption,220,53740,747b1179,eb7f9a25
JAVA,2025-09,client-side-operations-timeout,28,20552,747b1179,eb7f9a25
JAVA,2025-09,collection-management,6,482,747b1179,eb7f9a25
JAVA,2025-09,command-logging-and-monitoring,25,2936,747b1179,eb7f9a25
JAVA,2025-09,connection-monitoring-and-pooling,35,1704,747b1179,eb7f9a25
JAVA,2025-09,connection-string,8,1256,747b1179,eb7f9a25
JAVA,2025-09,crud,189,18682,747b1179,eb7f9a25
JAVA,2025-09,gridfs,8,1152,747b1179,eb7f9a25
JAVA,2025-09,index-management,7,535,747b1179,eb7f9a25
JAVA,2025-09,initial-dns-seedlist-discovery,53,467,747b1179,eb7f9a25
JAVA,2025-09,load-balancers,8,1533,747b1179,eb7f9a25
JAVA,2025-09,max-staleness,32,965,747b1179,eb7f9a25
JAVA,2025-09,mongodb-handshake,1,54,747b1179,eb7f9a25
JAVA,2025-09,read-write-concern,8,807,747b1179,eb7f9a25
JAVA,2025-09,retryable-reads,45,12102,747b1179,eb7f9a25
JAVA,2025-09,retryable-writes,35,6198,747b1179,eb7f9a25
JAVA,2025-09,run-command,2,660,747b1179,eb7f9a25
JAVA,2025-09,server-discovery-and-monitoring,221,15918,747b1179,eb7f9a25
JAVA,2025-09,server-selection,73,1981,747b1179,eb7f9a25
JAVA,2025-09,sessions,7,1440,747b1179,eb7f9a25
JAVA,2025-09,transactions,40,16665,747b1179,eb7f9a25
JAVA,2025-09,transactions-convenient-api,10,2027,747b1179,eb7f9a25
JAVA,2025-09,unified-test-format,304,6162,747b1179,eb7f9a25
JAVA,2025-09,uri-options,11,1305,747b1179,eb7f9a25
JAVA,2025-09,versioned-api,6,1088,747b1179,eb7f9a25
JAVA,2025-10,auth,2,696,feea1ad6,ace53b16
JAVA,2025-10,change-streams,9,4011,feea1ad6,ace53b16
